product_name,price,product_image,category,sold,disccount,free_ongkir,cod
"Official Xiaomi Redmi A2 Total RAM hingga 5GB 8MP AI Dual Kamera Layar HD+ 6,52"" 5000mAh",899.000,https://down-id.img.susercontent.com/file/id-11134201-7r991-lopps921j0o37a_tn,handphone-aksesoris,10RB+ Terjual,-22%,true,true
I13 Pro TWS Headset Bluetooth Bass 9D HiFi Stereo Sound Earphone Wireless Waterproof Headphone Henset Bloetooth with Microphone Sport,39.000,https://down-id.img.susercontent.com/file/id-11134207-7qul5-li3xs5czb8bx5c_tn,handphone-aksesoris,10RB+ Terjual,-67%,true,true
"TECNO POVA 5 Pro 5G – Dimensity 6080 5G, 8+8GB*+256GB, 68W Super Fast Charging+5000mAh, 120Hz+6,78"" FHD+, Hard Gyroscope, NFC, Turbo Light Mecha, Large Vapor Chamber Cooling, Android 13, Garansi 12+1 Bulan",2.599.000,https://down-id.img.susercontent.com/file/id-11134207-7r98y-llu79a33ipzb52_tn,handphone-aksesoris,"4,3RB Terjual",-13%,true,true
M10 plus powerbank 3500mAh Earphone Headset Wireless Bluetooth Full Bass Stereo 3500mah Power Bank,31.900,https://down-id.img.susercontent.com/file/id-11134201-23030-306nkb681gov29_tn,handphone-aksesoris,10RB+ Terjual,,true,true
Tempered Glass Ultra Fit Superfit Screen Protector for iPhone 7 8 SE 7+ 8+ X XR XS 11 12 13 14+ 15+ MINI PRO MAX,27.900,https://down-id.img.susercontent.com/file/id-11134207-7qul2-lgd5tspeqy9n22_tn,handphone-aksesoris,10RB+ Terjual,-72%,true,true
Crystal Anti Yellow Clear Case Iphone 7 8 7+ 8+ se2 se3 X XR Xs max 11 12 13 14 15 pro max 14 15 plus 12 13 mini Case Cover Casing,36.500,https://down-id.img.susercontent.com/file/id-11134207-7r98t-lm7bf9stkej0c9_tn,handphone-aksesoris,"4,4RB Terjual",,true,true
Jam Tangan Smartwatch i8 Ultra Watch 8 Free 2 Tali+Earphone TWS Fitness Tracker Cewek Cowok,156.000,https://down-id.img.susercontent.com/file/id-11134207-7r98u-lledgd9bn6v8f7_tn,handphone-aksesoris,"3,4RB Terjual",-61%,true,true
Gantungan HP lucu / Lanyard for phone / Bracelet lanyard / tali hp estetik / tali hp lucu / Strap hp gelang / Gantungan hp karakter/ pengait HP / tali hp karakter clay resin,7.238,https://down-id.img.susercontent.com/file/id-11134207-7r98o-lkty6s10s9ai46_tn,handphone-aksesoris,"8,8RB Terjual",-6%,true,true
Tempered Glass Matte Oppo A18 A17 A16 A16e A3s A1k A31 2020 A5s A7 A17k A11k A12 A15 A15s A5 2020 A9 2020 A16s A16k A71 A37 Neo 9 A83 A57 2022 A57 4g A57 5g A57 lama Oppo A52 A92 A72 Anti Gores Matte Glass Full Layar,7.650,https://down-id.img.susercontent.com/file/sg-11134201-22110-jxmagqybipjv0c_tn,handphone-aksesoris,10RB+ Terjual,-70%,true,true
STAND HP ADJUSTABLE UNIVERSAL / HOLDER MEJA / HOLDER STAND LIVE  / STAND HP ROTARI 360 STAND HP HD25 / STAND HD25,5.600,https://down-id.img.susercontent.com/file/01f0f1b867abf39e7ae5006ac703fe44_tn,handphone-aksesoris,10RB+ Terjual,,true,true
Kipas Angin Genggam Mini Portable Motif Buah / Kipas Angin Buah Cute Fan USB Charge,19.500,https://down-id.img.susercontent.com/file/sg-11134201-7qvej-lii9sarrbe0xbf_tn,handphone-aksesoris,10RB+ Terjual,-57%,true,true
CASE ELECTROPLATING METALIC MAGSAFE IPHONE 11 12 13 14 15 PRO MAX PLUS LENS GUARD PROTECTOR FULL COVER,18.000,https://down-id.img.susercontent.com/file/sg-11134201-22120-frs5vcv9wvkv33_tn,handphone-aksesoris,10RB+ Terjual,,true,true
Clear Acrylic Plating Full Cover Case For iPhone 7 8 SE XR XS MAX 11 12 13 MINI PRO MAX,14.400,https://down-id.img.susercontent.com/file/db000fd76f02ad8faad5ec1c4ae7db18_tn,handphone-aksesoris,10RB+ Terjual,-71%,true,true
KIPAS ANGIN PORTABLE MINI FAN SANDARAN HP / KIPAS GENGGAM / MINI FAN USB CHARGE,19.888,https://down-id.img.susercontent.com/file/id-11134207-7qul5-ljie64qfsc0ffe_tn,handphone-aksesoris,"8,2RB Terjual",,true,true
Kipas Genggam Angin Mini Karakter Fan Lucu Handheld USB Rechargeable Portable,19.900,https://down-id.img.susercontent.com/file/sg-11134201-7rbme-lopphah8y0hf4e_tn,handphone-aksesoris,10RB+ Terjual,-50%,true,true
Kabel 120W 6A Fast Charging Super Charger usb Micro / Tipe C Gaming Cable Data Viral,9.250,https://down-id.img.susercontent.com/file/id-11134207-7qul0-ljl9fxkzvf536b_tn,handphone-aksesoris,10RB+ Terjual,,true,true
