product_name,price,product_image,category,sold,disccount,free_ongkir,cod
Bohlam Lampu LED Emergency 28 W Jumbo Tetap Nyala Lama Walau Listrik Mati / Lentera malam / Lamp Magic / Lampu Ajaib,19.999,https://down-id.img.susercontent.com/file/sg-11134201-22110-7ubiuw1emojv8a_tn,elektronik,10RB+ Terjual,-26%,true,true
"LAMPU SELANG LED STRIP SMD 5050 220V PAKET 10M  , 15M ,  20M FREE SOKET 1PCS drop ceiling plafon AC 220VOLT",101.900,https://down-id.img.susercontent.com/file/id-11134207-7qukw-lfm3hbjf3gpuad_tn,elektronik,"5,6RB Terjual",,true,true
【Garansi 1 Tahun】Advance Kipas Angin 16 Inch SF-16A Kipas Angin Berdiri,124.000,https://down-id.img.susercontent.com/file/id-11134207-7qukw-lh8ok16rbeejae_tn,elektronik,"2,7RB Terjual",-55%,true,true
【DISKON 50%】Ready Versisuara i love you Cinnamoroll Lotso Kuromi Sanrio LED Night Light Gantungan kunci cinnamoroll Figure Kartun Lampu  Lucu Kecantikan Hiasan Kamar Tidur Lampu kawaii Samping Tempat Tidur Light Tidur Anak Night Light Gift,43.600,https://down-id.img.susercontent.com/file/id-11134207-7r98v-lp33n1b6hdi942_tn,elektronik,"3,5RB Terjual",-77%,true,true
[ACQ] Alat Peras Pemeras Buah Alat Peras Jeruk Blender Manual Juice,18.869,https://down-id.img.susercontent.com/file/id-11134207-7r98q-lm3yen9fmask2a_tn,elektronik,"7,7RB Terjual",,true,true
Mini Ac Kipas kabut bukan Portable / Humidifer AC Kipas angin  mini,55.000,https://down-id.img.susercontent.com/file/id-11134201-23020-zjlwxo0w4snv6a_tn,elektronik,"6,1RB Terjual",,true,true
VISHAL Jumbo chopper  Blender Elektrik Penggiling Penggiling Mixer Fruit Veg Blender Daging VS,65.999,https://down-id.img.susercontent.com/file/909961155416a8b00b0d06b03c10cc2c_tn,elektronik,10RB+ Terjual,-59%,true,true
KIPAS ANGIN BERDIRI / KIPAS AOYAMA 16 INCH / STANDFAN / KIPAS GARANSI RESMI / KIPAS MURAH / KIPAS KENCANG / ELEKTRONIK MURAH,119.500,https://down-id.img.susercontent.com/file/id-11134207-7qukw-lfm165eupsdn8c_tn,elektronik,10RB+ Terjual,-34%,true,true
[AGS] Teko Listrik Pemanas Air Panas Stainless 2 Liter,49.500,https://down-id.img.susercontent.com/file/id-11134207-7qul6-lh65uvuwo6uj04_tn,elektronik,6RB Terjual,,true,true
Kipas Besi Tornado 18 Inch 16 Inch 12 Inch 3in1 Besar Hemat Daya,139.999,https://down-id.img.susercontent.com/file/id-11134207-7qul9-lji8op9uqf4y5f_tn,elektronik,"4,4RB Terjual",-53%,true,true
[ASS] Blender Kapsul Capsule Portable Electric Juicer Hand Mixer Elektrik,51.000,https://down-id.img.susercontent.com/file/6d6b77a8d31f4a99c9b161b32ef3cd21_tn,elektronik,10RB+ Terjual,,true,true
Lampu Emergency Magic Lampu 10/15/20W/Lampu magic abulb/lampu pasar malam,23.888,https://down-id.img.susercontent.com/file/id-11134201-7r98x-lmuj9ikk0ch09b_tn,elektronik,10RB+ Terjual,-25%,true,true
Samono Pompa Galon Dispenser Air Minum Water Electric Pump Charge Micro USB SW-EWP01,30.900,https://down-id.img.susercontent.com/file/id-11134201-23030-7pouhvssu6nv18_tn,elektronik,10RB+ Terjual,-79%,true,true
LAMPU Model Kipas 4 Sayap Lampu LED Bubble 28 Watt,12.980,https://down-id.img.susercontent.com/file/sg-11134201-7rbk0-lkq5b4gnpp3bc2_tn,elektronik,"6,8RB Terjual",-48%,true,true
YHOME Lampu Sensor Gerak Magnetic Motion Sensor Lampu Stick Panjang LED/Lampu tidur LED tombol multifungsi lampu belajar lampu lemari portable Y258,46.900,https://down-id.img.susercontent.com/file/id-11134201-23030-gvl2gozn3movb4_tn,elektronik,10RB+ Terjual,-37%,true,true
5050 PAKET Lampu Led Strip Selang 5050 10M-15M-20M-30M (lampu strip+ Soket+tutup )5050 Lampu Hias Cafe Led Strip,50.800,https://down-id.img.susercontent.com/file/id-11134207-7qul6-lhbqbvqvsc4ud6_tn,elektronik,"6,9RB Terjual",-36%,true,true
Bright Crown VIRAL!! Kipas Pendingin Tahan Lama / AC Portable Air Cooler Super Dingin 600ml / Kipas Angin Portable Mini,59.000,https://down-id.img.susercontent.com/file/id-11134207-7qul4-li2sta87lwwua0_tn,elektronik,10RB+ Terjual,-68%,true,true
PAKET LAMPU LED STRIP 5050 3528 2835 RGB 5M 10M IP44 IP33 RGB REMOTE LAMPU HIAS WARNA WARNI LAMPU KAMAR AESTHETIC,41.500,https://down-id.img.susercontent.com/file/id-11134207-7qul9-ljjkrzorqaj371_tn,elektronik,10RB+ Terjual,-44%,true,true
LAMPU LED  STRIP RGB 3528 2835 WARNA WARNI IP44 5M AC 220V + ADAPTOR + REMOTE 3528 (LAMPU TIKTOK),27.000,https://down-id.img.susercontent.com/file/36c158b21d3e6c914a78b8a7ea79c69c_tn,elektronik,10RB+ Terjual,-55%,true,true
